manufacturer,model,description,transmission,gear,engine_capacity,fuel_type,powertrain,engine_power,WLTP_metric_low,WLTP_metric_medium,WLTP_metric_high,WLTP_metric_extra_high,WLTPCO2,Emissions_CO,THC_emissions,emissions_NOx,noise_level
ABARTH,595,595 1.4 145 BHP Hatchback,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),107,10.3,6.7,6,7.3,162,760,52,27,73.5
ABARTH,595,595 1.4 145 BHP Hatchback,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),107,10.4,6.6,6.5,8.2,169,760,52,27,73.5
ABARTH,595,595 1.4 145 BHP Convertible,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),107,10.3,6.7,6,7.3,162,760,52,27,73.5
ABARTH,595,595 1.4 145 BHP Convertible,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),107,10.4,6.6,6.5,8.2,169,760,52,27,73.5
ABARTH,595,595 1.4 TJET 145bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),107,9.5,6.1,5.8,7,153,829,39,20,74
ABARTH,595,595 1.4 TJET 145bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),107,9.7,6.5,6.1,7.4,161,829,39,20,74
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp,SA5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),132,10,6.8,6,7.1,160,493,26,18,74
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp,SA5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),132,10,6.9,6.1,7.4,165,493,26,18,74
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),132,9.4,6.3,5.9,7.2,156,561,35,18,72
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp Convertible,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),132,9.4,6.3,5.9,7.2,156,561,35,18,72
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp Convertible,SA5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),132,10,6.8,6,7.1,160,493,26,18,74
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp Convertible,SA5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),132,10,6.9,6.1,7.4,165,493,26,18,74
ABARTH,595,595 Competizione 180 BHP Convertible,SA5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),132,9.9,7.4,6.6,8.1,172,421,22,16,74
ABARTH,595,595 Competizione 180 BHP Hatchback,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),132,10.8,7.1,6.4,8.1,171,600,33,16,71.5
ABARTH,595,595 Competizione 180 BHP Hatchback,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),132,10.8,7.1,6.4,8.1,171,600,33,16,71.5
